timestamp,event,x_pos,y_pos,score
2025-06-08T21:10:36.486011,missed,490,605,1
2025-06-08T21:10:36.988151,missed,465,605,2
2025-06-08T21:10:37.487493,missed,390,605,3
2025-06-08T21:10:37.986773,missed,465,605,4
2025-06-08T21:10:38.489948,missed,410,605,5
2025-06-08T21:10:38.990357,missed,310,605,6
2025-06-08T21:10:39.491170,missed,310,605,7
2025-06-08T21:10:39.989689,missed,345,605,8
2025-06-08T21:10:40.490766,missed,490,605,9
2025-06-08T21:10:40.988435,missed,490,605,10
2025-06-08T21:10:41.486242,missed,345,605,11
2025-06-08T21:10:41.987862,missed,240,605,12
2025-06-08T21:10:42.486806,missed,265,605,13
2025-06-08T21:10:42.985421,missed,410,605,14
2025-06-08T21:10:43.490064,missed,360,605,15
2025-06-08T21:10:43.994351,missed,290,605,16
2025-06-08T21:10:44.497308,missed,190,605,17
2025-06-08T21:10:44.998726,missed,180,605,18
2025-06-08T21:10:45.501541,missed,220,605,19
2025-06-08T21:10:46.004854,missed,220,605,20
2025-06-08T21:10:46.505276,missed,350,605,21
2025-06-08T21:10:47.007363,missed,465,605,22
2025-06-08T21:10:47.507473,missed,375,605,23
2025-06-08T21:10:48.013994,missed,375,605,24
2025-06-08T21:10:48.514685,missed,310,605,25
2025-06-08T21:10:49.016016,missed,350,605,26
2025-06-08T21:10:49.519767,missed,255,605,27
2025-06-08T21:10:50.021488,missed,210,605,28
2025-06-08T21:10:50.522003,missed,100,605,29
2025-06-08T21:10:51.025193,missed,5,605,30
2025-06-08T21:10:51.527225,missed,35,605,31
2025-06-08T21:10:52.022532,missed,185,605,32
2025-06-08T21:10:52.520870,missed,335,605,33
2025-06-08T21:10:53.027134,missed,360,605,34
2025-06-08T21:10:53.523477,missed,390,605,35
2025-06-08T21:10:54.025986,missed,335,605,36
2025-06-08T21:10:54.523740,missed,335,605,37
2025-06-08T21:10:55.024525,missed,335,605,38
2025-06-08T21:10:55.525201,missed,335,605,39
2025-06-08T21:10:56.030235,missed,335,605,40
2025-06-08T21:10:56.530773,missed,335,605,41
2025-06-08T21:10:57.034704,missed,420,605,42
2025-06-08T21:10:57.537024,missed,545,605,43
2025-06-08T21:10:58.043112,missed,485,605,44
2025-06-08T21:10:58.542673,missed,370,605,45
2025-06-08T21:10:59.039837,missed,325,605,46
2025-06-08T21:10:59.540158,missed,375,605,47
2025-06-08T21:11:00.040708,missed,410,605,48
2025-06-08T21:11:00.538652,missed,425,605,49
2025-06-08T21:11:01.038554,missed,470,605,50
2025-06-08T21:11:01.539919,missed,515,605,51
2025-06-08T21:11:02.039612,missed,465,605,52
2025-06-08T21:11:02.542665,missed,435,605,53
2025-06-08T21:11:03.042942,missed,435,605,54
2025-06-08T21:11:03.543592,missed,390,605,55
2025-06-08T21:11:04.044904,missed,315,605,56
2025-06-08T21:11:04.543857,missed,290,605,57
2025-06-08T21:11:05.040423,missed,290,605,58
2025-06-08T21:11:05.541802,missed,365,605,59
2025-06-08T21:11:06.043652,missed,380,605,60
2025-06-08T21:11:06.543843,missed,290,605,61
2025-06-08T21:11:07.041088,missed,210,605,62
2025-06-08T21:11:07.543512,missed,210,605,63
2025-06-08T21:11:08.042207,missed,330,605,64
2025-06-08T21:11:08.544283,missed,435,605,65
2025-06-08T21:11:09.044383,missed,490,605,66
2025-06-08T21:11:09.544907,missed,470,605,67
2025-06-08T21:11:10.045912,missed,470,605,68
2025-06-08T21:11:10.549479,missed,470,605,69
2025-06-08T21:11:11.054297,missed,470,605,70
2025-06-08T21:11:11.554802,missed,470,605,71
2025-06-08T21:11:12.057230,missed,470,605,72
2025-06-08T21:11:12.557179,missed,470,605,73
2025-06-08T21:11:13.056637,missed,320,605,74
2025-06-08T21:11:13.558188,missed,300,605,75
2025-06-08T21:11:14.060668,missed,230,605,76
2025-06-08T21:11:14.563606,missed,225,605,77
2025-06-08T21:11:15.074732,missed,295,605,78
2025-06-08T21:11:15.575604,missed,365,605,79
2025-06-08T21:11:16.075596,missed,255,605,80
2025-06-08T21:11:16.570558,missed,220,605,81
2025-06-08T21:11:17.073276,missed,220,605,82
2025-06-08T21:11:17.570423,missed,255,605,83
2025-06-08T21:11:18.068567,missed,405,605,84
2025-06-08T21:11:18.566104,missed,430,605,85
2025-06-08T21:11:19.067208,missed,505,605,86
2025-06-08T21:11:19.570217,missed,540,605,87
2025-06-08T21:11:20.069658,missed,540,605,88
2025-06-08T21:11:20.569481,missed,540,605,89
2025-06-08T21:11:21.068521,missed,540,605,90
2025-06-08T21:11:21.566879,missed,540,605,91
2025-06-08T21:11:22.067899,missed,625,605,92
2025-06-08T21:11:22.567909,missed,645,605,93
2025-06-08T21:11:23.068179,missed,645,605,94
2025-06-08T21:11:23.570154,missed,530,605,95
2025-06-08T21:11:24.073422,missed,530,605,96
2025-06-08T21:11:24.573597,missed,405,605,97
2025-06-08T21:11:25.070797,missed,405,605,98
2025-06-08T21:11:25.568819,missed,370,605,99
2025-06-08T21:11:26.071474,missed,370,605,100
2025-06-08T21:11:26.571070,missed,440,605,101
2025-06-08T21:11:27.072618,missed,495,605,102
2025-06-08T21:11:27.573422,missed,495,605,103
2025-06-08T21:11:28.072310,missed,550,605,104
2025-06-08T21:11:28.570666,missed,640,605,105
2025-06-08T21:11:28.736182,hit,655,505,105
